"name","district","price","rooms_left"
"Taksim Golden House Hotel","Beyoglu","1839.94821976832","6"
"Lucky Hotel İstanbul","Fatih","1840.532330314283","6"
"Swans Hotel Old City Grand Bazaar","Fatih","1848.12576741174","3"
"JOE BLACK APART","Fatih","1850.98790908693","4"
"Reyyan Hotel","Emin Sinan mahallesi","1871.133464595214","14"
"GreenPoint Hotel","Beyoglu","1881.726726567985","2"
"WhıteMoon Hotel Suites Taksim","Beyoglu","1913.54614855905","1"
"La Petite Maison Hotel","Kücükayasofya Mahallesi Aksakal Sokak No. 21 Sultanahmet","1950.34511295442","6"
"İstanbul Altın Life Hotel","Fatih","1951.4602330876169","10"
"Yenikapı Luxery Hotel","Fatih","1953.61613201179","16"
"Utarit Hotel","Beyoglu","1979.084916397381","4"
"Hotel Blue Ottoman","Fatih","2023.94304174515","9"
"Invictum Residence","Beyoglu","2031.30283462423","4"
"Saray Boutique Hotel Laleli","Fatih","2042.34252394284","22"
"Al yon Hotel Taksim Istanbul","Beyoglu","2044.38691085369","20"
"Tulip Guesthouse","Fatih","2044.38691085369","26"
"Taksim Fidan Residence Hotel","Beyoglu","2052.56445849711","3"
"Antique Boutique","Beyoglu","2053.38221326145","4"
"Capitol Old City Apartments","Fatih","2086.50128121728","2"
"Sefa Deluxe Old City","Fatih","2095.701022316117","1"
"Taksim Otto House Hotel","Beyoglu","2126.16238728784","6"
"Continental Airport Hotel","Sevban Mehmet Cad. No.42 / Arnavutköy","2142.8095378476437","60"
"Divan Wooden Guesthouse","Fatih","2171.13889932662","5"
"Antik Houses","Fatih","2207.93786372199","3"
"Taxim No18 Boutique Hotel","Beyoglu","2207.93786372199","3"
"City Center Allyon Suit Hotel Istanbul","Beyoglu","2248.82560193906","14"
"Fly And Stay Airport Hotel","Fatih caddesi no.177 Arnavutköy","2248.82560193906","39"
"Roj Suite","Beyoglu","2261.091923404178","1"
"The Suite Hotel","Beyoglu","2261.09192340418","7"
"Stay Inn Taksim Hostel","Beyoglu","2277.151312727121","14"
"ComeLiveGO Cihangir","Beyoglu","2289.713340156136","2"
"Nacre Residence","Beyoglu","2293.39323659567","4"
"Destinia Pera","Beyoglu","2301.8920450393607","10"
"Blue Point Hotel","Beyoglu","2318.33475690809","2"
"Omega Luxx Hotel","Fatih","2447.13113229187","10"
"Hotel Kaya Est 1985","Beyoglu","2453.26429302443","9"
"Butterfly House","Beyoglu","2502.32957888492","8"
"CK Boutique Hotel","Bilinmiyor","2517.39963097064","16"
"Just Inn Hotel","Fatih","2539.12854328028","11"
"Demhat Hotel Old City","Fatih","2575.92750767565","1"
"Villa Pera Suite Hotel","Beyoglu","2596.678034820818","8"
"Taksim Trend Residence","Beyoglu","2759.92232965248","7"
"BGuest Hotel & Residence","Fatih","2806.53435121995","20"
"April Story Apart Hotel","Fatih","2821.25393697809","5"
"Istanbul Hotel&Guesthouse","Fatih","2875.211148660983","4"
"Rose Bouquets Hotel","Fatih","3054.31404481541","8"
"Lavin Hotel & Suites","Fatih","3084.16209371388","3"
"Harbor House","Fatih","3106.664952496917","3"
"Taxim Trend Apart","Beyoglu","3127.91197360615","7"
"CK PALACE Hotel","Fatih","3206.00755360076","9"
"Rafinn Hotel","Beyoglu","3284.51201097754","5"
"Sel Suite Hotel","Beyoglu","3862.66462936696","6"
"Leyenda Boutıque Hotel","Fatih","4040.52629061123","10"
"Germenicia Hotel","Fatih","4208.98377206558","4"
"gazelle suites","Beyoglu","5110.96727713423","7"
"Maduro Hotel Istanbul","Fatih","5274.51823000252","3"
